Test,Df,Sum Sq,Mean Sq,F value,Pr(>F),Comparison,group.diff,group.lwr,group.upr,group.p.adj,unlist(tukey_sig),diff,lwr.ci,upr.ci,pval,comp
ANOVA,2,559645247134.7351,279822623567.36755,15.405800107179386,7.617615256298174e-5,group      ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANOVA,21,381432645758.93506,18163459321.85405,NA,NA,Residuals  ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tukey,NA,NA,NA,NA,NA,le1-ctrl,95703.86170207057,-74147.13209565234,265554.8554997935,0.3489249204231084,NA,NA,NA,NA,NA,NA
Tukey,NA,NA,NA,NA,NA,sl1-ctrl,361003.75022822805,191152.75643050513,530854.744025951,7.417870491199796e-5,NA,NA,NA,NA,NA,NA
Tukey,NA,NA,NA,NA,NA,sl1-le1,265299.8885261575,95448.89472843456,435150.8823238804,0.002090670597407085,NA,NA,NA,NA,NA,NA
sig,NA,NA,NA,NA,NA,group.Letters.sl1,NA,NA,NA,NA,a,NA,NA,NA,NA,NA
sig,NA,NA,NA,NA,NA,group.Letters.le1,NA,NA,NA,NA,b,NA,NA,NA,NA,NA
sig,NA,NA,NA,NA,NA,group.Letters.ctrl,NA,NA,NA,NA,b,NA,NA,NA,NA,NA
sig,NA,NA,NA,NA,NA,group.monospacedLetters.sl1,NA,NA,NA,NA,a ,NA,NA,NA,NA,NA
sig,NA,NA,NA,NA,NA,group.monospacedLetters.le1,NA,NA,NA,NA, b,NA,NA,NA,NA,NA
sig,NA,NA,NA,NA,NA,group.monospacedLetters.ctrl,NA,NA,NA,NA, b,NA,NA,NA,NA,NA
sig,NA,NA,NA,NA,NA,group.LetterMatrix1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
sig,NA,NA,NA,NA,NA,group.LetterMatrix2,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
sig,NA,NA,NA,NA,NA,group.LetterMatrix3,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
sig,NA,NA,NA,NA,NA,group.LetterMatrix4,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
sig,NA,NA,NA,NA,NA,group.LetterMatrix5,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
sig,NA,NA,NA,NA,NA,group.LetterMatrix6,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
Dunnett,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95703.86170207057,-64038.84027785386,255446.563681995,0.2850315864266366,le1-ctrl
Dunnett,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361003.7502282285,201261.04824830408,520746.452208153,5.063855157905195e-5,sl1-ctrl
